address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price,GEOCODE,zip,distance,pps,lon,lat
779 BENEDICT DR LAS VEGAS NV 89110,4.0,3.0,1.0,Single Family Home,5246.0,19602.0,469e3,"-115.01793,36.173504",89110,9.565230128839218,89.40144872283645,-115.01793,36.173504
2895 SANDYFALLS WAY LAS VEGAS NV 89142,3.0,2.0,0.0,Single Family Home,986.0,4791.0,1e5,"-115.057,36.1373",89142,6.663907956103849,101.41987829614604,-115.057,36.1373
150 LAS VEGAS BLVD N UNIT 1104 LAS VEGAS NV 89101,1.0,1.0,1.0,Condo/Townhome/Row Home/Co-Op,963.0,NaN,245e3,"-115.14024,36.16984",89101,4.219126387859647,254.41329179646937,-115.14024,36.16984
9050 W WARM SPRINGS RD UNIT 2122 LAS VEGAS NV 89148,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,936.0,NaN,95e3,"-115.28876,36.05547",89148,7.6649352535647965,101.4957264957265,-115.28876,36.05547
9094 GRAY BLUFF DR LAS VEGAS NV 89129,5.0,3.0,0.0,Single Family Home,3215.0,6969.0,355e3,"-115.2952,36.227966",89129,10.385384246310139,110.4199066874028,-115.2952,36.227966
8640 KASPER GLEN CT LAS VEGAS NV 89178,4.0,3.0,0.0,Single Family Home,1911.0,3049.0,219e3,"-115.280624,36.002205",89178,9.824901020221189,114.59968602825745,-115.280624,36.002205
7228 DUSTY CLOUD ST LAS VEGAS NV 89149,4.0,2.0,1.0,Single Family Home,2632.0,8276.0,369e3,"-115.304825,36.2931",89149,14.346094141881744,140.19756838905775,-115.304825,36.2931
2430 GRANADA BLUFF CT LAS VEGAS NV 89135,3.0,3.0,0.0,Single Family Home,1816.0,3049.0,322e3,"-115.339584,36.145996",89135,9.574969106607435,177.31277533039648,-115.339584,36.145996
4901 NAFF RIDGE DR LAS VEGAS NV 89131,4.0,2.0,1.0,Single Family Home,2318.0,5227.0,19e4,"-115.20771,36.30401",89131,13.201263657234406,81.9672131147541,-115.20771,36.30401
9796 AMADOR RANCH AVE LAS VEGAS NV 89149,3.0,3.0,1.0,Single Family Home,3941.0,18295.2,512e3,NA,89149,NA,129.91626490738392,NA,NA
3825 VALLEY FORGE AVE LAS VEGAS NV 89110,3.0,2.0,0.0,Single Family Home,1236.0,6969.0,11e4,"-115.093,36.18137",89110,6.409840048676467,88.9967637540453,-115.093,36.18137
317 N MINNESOTA ST LAS VEGAS NV 89107,4.0,2.0,0.0,Single Family Home,1447.0,8712.0,105e3,"-115.210075,36.17643",89107,4.742172079885311,72.56392536281963,-115.210075,36.17643
2405 LUBERON DR HENDERSON NV 89044,3.0,3.0,0.0,Single Family Home,2587.0,9147.0,589900.0,"-115.09194,35.923325",89044,13.9471610991156,228.02473908001545,-115.09194,35.923325
2220 SANTA YNEZ DR LAS VEGAS NV 89104,4.0,4.0,0.0,Single Family Home,2008.0,6969.0,139e3,"-115.14922,36.14594",89104,2.5293021462147847,69.22310756972112,-115.14922,36.14594
71 PINON RD LAS VEGAS NV 89124,3.0,2.0,0.0,Single Family Home,2106.0,26571.6,175e3,"-115.73907,36.41372",89124,37.7483408320297,83.09591642924977,-115.73907,36.41372
1422 ECHO FALLS AVE LAS VEGAS NV 89183,2.0,2.0,0.0,Single Family Home,1508.0,4791.0,199900.0,"-115.13328,36.007877",89183,7.686975499598262,132.55968169761275,-115.13328,36.007877
9953 FRAGILE FIELDS ST LAS VEGAS NV 89183,3.0,2.0,1.0,Single Family Home,1387.0,1306.0,14e4,"-115.1381,36.008625",89183,7.563815063386112,100.93727469358328,-115.1381,36.008625
4412 VINCENTE LN LAS VEGAS NV 89130,3.0,2.0,0.0,Single Family Home,1244.0,4791.0,118500.0,"-115.213,36.23957",89130,8.901439162262012,95.2572347266881,-115.213,36.23957
5668 BIG SEA ST LAS VEGAS NV 89110,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1029.0,4356.0,59e3,"-115.05002,36.16276",89110,7.626849352983539,57.33722060252673,-115.05002,36.16276
1027 PARK BRIDGE AVE LAS VEGAS NV 89123,2.0,2.0,1.0,Single Family Home,1474.0,3049.0,17e4,"-115.140785,36.032803",89123,5.9208472251535484,115.33242876526458,-115.140785,36.032803
7629 VALLEY GREEN DR UNIT 201 LAS VEGAS NV 89149,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1685.0,2962.0,169900.0,"-115.26077,36.261745",89149,11.270871913016942,100.83086053412462,-115.26077,36.261745
10266 COPALITO DR LAS VEGAS NV 89178,4.0,2.0,1.0,Single Family Home,2360.0,3920.0,290388.0,"-115.24752,36.00287",89178,8.768318690471023,123.04576271186441,-115.24752,36.00287
6164 PINE VILLA AVE UNIT 202 LAS VEGAS NV 89108,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1342.0,1350.0,95e3,"-115.22859,36.2314",89108,8.632754550596745,70.78986587183309,-115.22859,36.2314
2609 ROMARIN TER HENDERSON NV 89044,3.0,2.0,1.0,Single Family Home,2063.0,3484.0,26e4,"-115.09066,35.933655",89044,13.300110184981506,126.03005332040718,-115.09066,35.933655
5190 LOS PINOS ST LAS VEGAS NV 89122,3.0,2.0,0.0,Mfd/Mobile Home,1512.0,6534.0,75e3,"-115.03363,36.095047",89122,7.903947489639729,49.6031746031746,-115.03363,36.095047
4730 E CRAIG RD UNIT: 1074 LAS VEGAS NV 89115,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,974.0,NaN,45e3,"-115.07021,36.240437",89115,10.39809367179272,46.20123203285421,-115.07021,36.240437
4787 WILD DRAW DR LAS VEGAS NV 89031,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1095.0,1742.0,109900.0,"-115.1463,36.246635",89031,9.220392201311917,100.36529680365297,-115.1463,36.246635
10550 W ALEXANDER RD UNIT 1174 LAS VEGAS NV 89129,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1083.0,NaN,131e3,NA,89129,NA,120.96029547553093,NA,NA
10517 SHANNA TRELLIS AVE LAS VEGAS NV 89144,3.0,2.0,0.0,Single Family Home,1144.0,4356.0,175e3,"-115.325356,36.192307",89144,10.070941084529366,152.97202797202797,-115.325356,36.192307
4308 ROANRIDGE AVE LAS VEGAS NV 89120,3.0,2.0,0.0,Single Family Home,1437.0,7405.0,124900.0,"-115.07944,36.091934",89120,5.454202386288112,86.91718858733472,-115.07944,36.091934
155 JALYN RAE CT LAS VEGAS NV 89183,4.0,4.0,1.0,Single Family Home,4448.0,13939.2,699999.0,"-115.16469,36.00596",89183,7.5074148915069046,157.37387589928056,-115.16469,36.00596
5016 ELKIN CREEK AVE LAS VEGAS NV 89131,4.0,2.0,1.0,Single Family Home,2791.0,4791.0,195e3,"-115.209915,36.309963",89131,13.625545878510259,69.86743102830526,-115.209915,36.309963
7964 DIAMOND ROCK WAY UNIT 201 LAS VEGAS NV 89128,2.0,2.0,0.0,Condo/Townhome/Row Home/Co-Op,1136.0,3049.0,74900.0,"-115.26822,36.18465",89128,7.19429675578061,65.9330985915493,-115.26822,36.18465
593 WEALDSTON CT LAS VEGAS NV 89178,4.0,2.0,1.0,Single Family Home,3536.0,6534.0,415e3,"-115.302086,36.036327",89178,9.028334691051427,117.36425339366515,-115.302086,36.036327
